3PM,APG,BPG,FGP,FTP,MPG,PPG,RPG,SPG,TPG,NAME
1.4,0.7,0.2,35.7,90.9,19.6,5.5,1.7,0.6,0.5,Alex Abrines
0.0,1.6,0.9,59.1,56.3,33.4,16.2,10.2,1.4,1.6,Steven Adams
0.0,1.9,1,54.1,70.8,21.1,7.9,7.2,0.7,1.3,Bam Adebayo
0.1,2.2,1.2,48.1,82.7,32.1,18.6,9.4,0.5,1.9,LaMarcus Aldridge
0.1,1.6,1.4,59.5,73.7,27.2,12,8.2,0.5,1.3,Jarrett Allen
1.4,0.8,0.4,44.5,83.1,29.9,9.2,8,1,0.9,Al-Farouq Aminu
0.2,3,0.8,51.4,61.5,29.2,7.2,6.2,1.2,1.3,Kyle Anderson
0.5,1.1,0.1,31.7,78.6,18.5,3.7,3,0.2,0.8,Ryan Anderson
0.3,6.1,1.4,59.1,70,33.8,26.8,12.8,1.3,4.3,Giannis Antetokounmpo
2.1,0.5,0.7,40.5,68.2,29.4,13.4,5.4,0.4,0.8,Carmelo Anthony
1.2,0.5,0.3,44.5,29.2,20.4,8.1,2.9,0.6,0.7,OG Anunoby
1.5,3.8,0,44.4,82.8,28.3,7,2.7,1,0.9,Ryan Arcidiacono
2.5,3.5,0,40.6,100,37.0,17,7,4.5,0.5,Trevor Ariza
1.6,4.8,0,44.7,88.6,27.6,10.5,2.3,0.4,1.3,D.J. Augustin
0.0,2.3,0.9,58.9,76.8,30.6,16,10.4,0.6,1.9,Deandre Ayton
0.3,0.9,1,53.6,68.3,23.0,12.7,6.1,0.4,1.6,Marvin Bagley III
1.4,4.9,0.4,40.1,51.9,29.2,9,5.3,1.6,2.1,Lonzo Ball
0.6,1.1,1.4,47.1,55.9,17.0,6.6,4.6,0.3,0.7,Mo Bamba
0.9,5.5,0,44.3,72.7,19.7,11.7,2.5,0.6,1.7,J.J. Barea
2.6,1.1,0.3,42.1,79.6,31.7,18.2,4.2,0.8,1.5,Harrison Barnes
